 name	GO
PF3D7_0304400	RPL44	GO:0003735
PF3D7_1130100	RPL38	GO:0003735
PF3D7_1323400	RPL23	GO:0003735
PF3D7_0503800	RPL31	GO:0003735
PF3D7_0217800	RPS26	GO:0003735
PF3D7_1109900	RPL36	GO:0003735
PF3D7_1365900	PF3D7_1365900	GO:0003735
PF3D7_0614500	RPL19	GO:0003735
PF3D7_1026800	RPS2	GO:0003735
PF3D7_0516900	RPL2	GO:0003735
PF3D7_1308300	RPS27	GO:0003735
PF3D7_1447000	PF3D7_1447000	GO:0003735
PF3D7_1358800	RPS15	GO:0003735
PF3D7_1027800	RPL3	GO:0003735
PF3D7_1421200	RPS25	GO:0003735
PF3D7_1465900	PF3D7_1465900	GO:0003735
PF3D7_0315100	eIF4E	GO:0003743
PF3D7_0322000	CYP19A	GO:0003755
PF3D7_1247400	FKBP35	GO:0003755
PF3D7_0827900	PDI8	GO:0003756
PF3D7_1117600	ICT1	GO:0004045
PF3D7_0317500	EG5	GO:0003777
PF3D7_1444800	FBPA	GO:0003779
PF3D7_0530900	FRM1	GO:0003779
PF3D7_1342600	MyoA	GO:0003779
PF3D7_1219000	FRM2	GO:0003779
PF3D7_1342600	MyoA	GO:0003779
PF3D7_0424400	SURF4.2	GO:0003779
PF3D7_0503400	ADF1	GO:0003785
PF3D7_0105300	CAP	GO:0003785
PF3D7_1361800	GAC	GO:0051015
PF3D7_1251200	PF3D7_1251200	GO:0051015
PF3D7_0906500	PF3D7_0906500	GO:0004053
PF3D7_0212900	ATEL1	GO:0004057
PF3D7_1116000	RON4	GO:0003823
PF3D7_0520600	Ap4AH	GO:0004081
PF3D7_0307400	ClpP	GO:0016787
PF3D7_1033400	HAD1	GO:0050308
PF3D7_1458400	ADCL	GO:0008483
PF3D7_1315600	PIS	GO:0003881
PF3D7_1410200	CTPS	GO:0003883
PF3D7_0727300	DNMT	GO:0003886
PF3D7_1411400	PREX	GO:0003887
PF3D7_1411400	PREX	GO:0003896
PF3D7_1438700	PF3D7_1438700	GO:0003896
PF3D7_1304100	LigI	GO:0003910
PF3D7_1433500	TOP2	GO:0003918
PF3D7_1239500	GyrB	GO:0003918
PF3D7_1107400	RAD51	GO:0008094
PF3D7_1012600	GMPS	GO:0003921
PF3D7_1217300	EngA	GO:0003924
PF3D7_0313500	PfG	GO:0003924
PF3D7_1411600	Obg1	GO:0003924
PF3D7_1224000	GCH1	GO:0003934
PF3D7_0623200	FNR	GO:0009055
PF3D7_1232200	LPD1	GO:0004148
PF3D7_0815900	aLipDH	GO:0004148
PF3D7_0603300	DHODH	GO:0004152
PF3D7_1230400	ClpQ	GO:0070011
PF3D7_1323500	PMV	GO:0004190
PF3D7_1115400	FP3	GO:0004197
PF3D7_1438400	MCA2	GO:0008234
PF3D7_0207600	SERA5	NOT	GO:0008234
